utc,open,close,high,low,volume
2023-10-12T14:10:00.000000,0.95,0.94,0.95,0.93,8284
2023-10-12T14:20:00.000000,0.93,0.93,0.95,0.92,2292
2023-10-12T14:30:00.000000,0.93,0.92,0.93,0.92,913
2023-10-12T14:40:00.000000,0.93,0.91,0.93,0.91,7167
2023-10-12T14:50:00.000000,0.92,0.87,0.92,0.87,22538
2023-10-12T15:00:00.000000,0.87,0.84,0.87,0.82,41162
2023-10-12T15:10:00.000000,0.84,0.84,0.85,0.84,67184
2023-10-12T15:20:00.000000,0.84,0.85,0.85,0.84,5211
2023-10-12T15:30:00.000000,0.85,0.85,0.85,0.84,2676
2023-10-12T15:40:00.000000,0.85,0.82,0.86,0.82,15013
2023-10-12T15:50:00.000000,0.82,0.84,0.84,0.82,20225
2023-10-12T16:00:00.000000,0.83,0.83,0.84,0.82,3815
2023-10-12T16:10:00.000000,0.84,0.84,0.84,0.83,2323
2023-10-12T16:20:00.000000,0.84,0.84,0.84,0.83,2631
2023-10-12T16:30:00.000000,0.84,0.83,0.84,0.83,214
2023-10-12T16:40:00.000000,0.84,0.84,0.84,0.83,977
2023-10-12T16:50:00.000000,0.83,0.84,0.84,0.83,1587
2023-10-12T17:00:00.000000,0.84,0.84,0.84,0.83,4477
2023-10-12T17:10:00.000000,0.84,0.83,0.84,0.82,5587
2023-10-12T17:20:00.000000,0.83,0.8,0.83,0.8,17770
2023-10-12T17:30:00.000000,0.8,0.81,0.81,0.8,22816
2023-10-12T17:40:00.000000,0.81,0.8,0.81,0.8,22025
2023-10-12T17:50:00.000000,0.81,0.81,0.81,0.8,13001
2023-10-12T18:00:00.000000,0.8,0.81,0.81,0.8,498
2023-10-12T18:10:00.000000,0.81,0.81,0.81,0.8,1134
2023-10-12T18:20:00.000000,0.8,0.8,0.81,0.8,9846
2023-10-12T18:30:00.000000,0.79,0.8,0.81,0.79,2207
2023-10-12T18:40:00.000000,0.8,0.8,0.8,0.79,28399
2023-10-12T18:50:00.000000,0.8,0.8,0.81,0.8,6916
