iter	Passed	Remaining
1176	12623	94629
1177	12634	94616
1178	12644	94606
1179	12656	94603
1180	12667	94596
1181	12678	94587
1182	12689	94577
1183	12701	94577
1184	12712	94568
1185	12725	94570
1186	12736	94566
1187	12747	94557
1188	12759	94555
1189	12771	94549
1190	12783	94551
1191	12794	94545
1192	12805	94536
1193	12819	94545
1194	12830	94537
1195	12843	94541
1196	12856	94547
1197	12869	94556
1198	12881	94557
1199	12893	94555
1200	12905	94548
1201	12915	94534
1202	12925	94516
1203	12935	94503
1204	12945	94485
1205	12956	94477
1206	12966	94463
1207	12976	94443
1208	12987	94437
1209	12998	94425
1210	13007	94407
1211	13018	94393
1212	13028	94381
1213	13039	94367
1214	13049	94356
1215	13059	94336
1216	13069	94321
1217	13078	94301
1218	13089	94287
1219	13102	94293
1220	13114	94291
1221	13124	94273
1222	13135	94269
1223	13148	94276
1224	13160	94275
1225	13170	94258
1226	13181	94245
1227	13189	94219
1228	13200	94206
1229	13209	94187
1230	13225	94214
1231	13235	94193
1232	13245	94181
1233	13254	94159
1234	13265	94148
1235	13277	94145
1236	13289	94144
1237	13303	94156
1238	13316	94163
1239	13332	94186
1240	13343	94177
1241	13355	94173
1242	13367	94175
1243	13377	94157
1244	13386	94136
1245	13396	94122
1246	13406	94103
1247	13415	94081
1248	13425	94066
1249	13434	94043
1250	13445	94030
1251	13456	94022
1252	13470	94034
1253	13485	94053
1254	13501	94078
1255	13513	94076
1256	13523	94062
1257	13532	94040
1258	13542	94019
1259	13550	93994
1260	13560	93974
1261	13569	93952
1262	13578	93934
1263	13588	93915
1264	13601	93920
1265	13611	93901
1266	13620	93880
1267	13629	93857
1268	13638	93836
1269	13648	93822
1270	13658	93803
1271	13667	93784
1272	13677	93768
1273	13687	93750
1274	13696	93727
1275	13706	93711
1276	13716	93692
1277	13726	93679
1278	13736	93663
1279	13749	93665
1280	13762	93670
1281	13774	93672
1282	13790	93695
1283	13802	93693
1284	13817	93710
1285	13831	93723
1286	13847	93744
1287	13862	93765
1288	13878	93788
1289	13891	93792
1290	13900	93774
1291	13911	93759
1292	13921	93743
1293	13930	93726
1294	13940	93707
1295	13950	93693
1296	13959	93672
1297	13970	93660
1298	13980	93647
1299	13990	93630
1300	14002	93622
1301	14012	93611
1302	14024	93609
1303	14038	93616
1304	14050	93615
1305	14062	93615
1306	14074	93614
1307	14087	93614
1308	14100	93617
1309	14110	93604
1310	14121	93594
1311	14131	93579
1312	14142	93570
1313	14155	93574
1314	14165	93557
1315	14177	93553
1316	14188	93542
1317	14199	93537
1318	14210	93524
1319	14220	93512
1320	14232	93508
1321	14243	93498
1322	14254	93492
1323	14265	93482
1324	14276	93470
1325	14286	93454
1326	14297	93442
1327	14306	93422
1328	14316	93408
1329	14326	93392
1330	14335	93371
1331	14345	93354
1332	14357	93348
1333	14368	93339
1334	14378	93322
1335	14389	93314
1336	14399	93298
1337	14408	93280
1338	14418	93265
1339	14428	93248
1340	14437	93225
1341	14447	93210
1342	14458	93197
1343	14467	93178
1344	14477	93163
1345	14487	93148
1346	14498	93137
1347	14508	93118
1348	14517	93098
1349	14527	93084
1350	14536	93059
1351	14546	93043
1352	14556	93031
1353	14566	93013
1354	14576	92997
1355	14586	92982
1356	14596	92968
1357	14606	92952
1358	14616	92938
1359	14629	92938
1360	14641	92939
1361	14651	92921
1362	14661	92906
1363	14772	93529
1364	14784	93528
1365	14798	93536
1366	14811	93536
1367	14824	93540
1368	14835	93533
1369	14847	93527
1370	14859	93525
1371	14872	93527
1372	14883	93519
1373	14895	93515
1374	14906	93501
1375	14917	93496
1376	14929	93488
1377	14940	93480
1378	14950	93467
1379	14961	93454
1380	14971	93441
1381	14982	93430
1382	14993	93422
1383	15005	93413
1384	15014	93393
1385	15024	93377
1386	15035	93365
1387	15045	93352
1388	15055	93337
1389	15066	93323
1390	15076	93306
1391	15086	93291
1392	15095	93273
1393	15107	93264
1394	15119	93265
1395	15130	93257
1396	15143	93256
1397	15155	93252
1398	15166	93241
1399	15176	93228
1400	15187	93219
1401	15197	93202
1402	15208	93189
1403	15219	93181
1404	15230	93172
1405	15240	93156
1406	15252	93150
1407	15263	93139
1408	15273	93127
1409	15285	93121
1410	15295	93106
1411	15305	93088
1412	15316	93077
1413	15326	93062
1414	15336	93049
1415	15347	93039
1416	15358	93027
1417	15368	93014
1418	15378	92996
1419	15388	92979
1420	15397	92961
1421	15407	92940
1422	15417	92930
1423	15430	92927
1424	15439	92907
1425	15451	92901
1426	15460	92885
1427	15470	92868
1428	15481	92855
1429	15491	92841
1430	15501	92824
1431	15512	92813
1432	15524	92811
1433	15535	92802
1434	15546	92794
1435	15557	92784
1436	15568	92769
1437	15578	92756
1438	15588	92738
1439	15597	92720
1440	15608	92707
1441	15618	92693
1442	15631	92693
1443	15642	92687
1444	15656	92691
1445	15668	92690
1446	15681	92692
1447	15694	92691
1448	15706	92687
1449	15721	92699
1450	15735	92709
1451	15746	92701
1452	15759	92703
1453	15771	92700
1454	15784	92699
1455	15797	92703
1456	15810	92705
1457	15823	92703
1458	15834	92695
1459	15845	92687
1460	15856	92677
1461	15869	92675
1462	15881	92674
1463	15893	92670
1464	15906	92668
1465	15919	92674
1466	15931	92666
1467	15944	92668
1468	15955	92661
1469	15968	92661
1470	15979	92653
1471	15991	92647
1472	16003	92640
1473	16013	92626
1474	16025	92623
1475	16037	92617
1476	16048	92608
1477	16059	92598
1478	16070	92588
1479	16081	92574
1480	16092	92568
1481	16103	92556
1482	16113	92542
1483	16125	92536
1484	16135	92523
1485	16146	92511
1486	16157	92498
1487	16167	92486
1488	16179	92479
1489	16191	92474
1490	16203	92470
1491	16215	92467
1492	16228	92466
1493	16239	92458
1494	16250	92446
1495	16262	92441
1496	16273	92432
1497	16285	92427
1498	16300	92440
1499	16314	92447
1500	16326	92442
1501	16339	92444
1502	16352	92447
1503	16364	92443
1504	16376	92437
1505	16391	92447
1506	16406	92461
1507	16420	92470
1508	16434	92473
1509	16448	92480
1510	16460	92475
1511	16472	92472
1512	16485	92471
1513	16497	92470
1514	16519	92518
1515	16574	92755
1516	16594	92794
1517	16609	92809
1518	16621	92803
1519	16634	92801
1520	16645	92790
1521	16655	92778
1522	16667	92771
1523	16679	92767
1524	16690	92757
1525	16701	92746
1526	16716	92758
1527	16728	92753
1528	16741	92752
1529	16752	92740
1530	16763	92732
1531	16775	92724
1532	16785	92706
1533	16796	92700
1534	16806	92683
1535	16818	92674
1536	16829	92665
1537	16839	92652
1538	16850	92640
1539	16862	92633
1540	16872	92617
1541	16882	92600
1542	16893	92590
1543	16903	92574
1544	16913	92558
1545	16924	92550
1546	16934	92530
1547	16944	92518
1548	16955	92502
1549	16964	92484
1550	16974	92470
1551	16985	92457
1552	16995	92442
1553	17006	92430
1554	17016	92414
1555	17026	92400
1556	17037	92386
1557	17047	92369
1558	17057	92356
1559	17067	92337
1560	17077	92323
1561	17088	92311
1562	17096	92288
1563	17108	92279
1564	17120	92273
1565	17129	92255
1566	17140	92245
1567	17150	92227
1568	17160	92210
1569	17171	92198
1570	17179	92176
1571	17189	92160
1572	17199	92145
1573	17209	92124
1574	17219	92108
1575	17228	92087
1576	17238	92071
1577	17249	92061
1578	17259	92048
1579	17270	92034
1580	17279	92016
1581	17290	92006
1582	17300	91986
1583	17309	91965
1584	17318	91948
1585	17326	91922
1586	17337	91909
1587	17347	91891
1588	17356	91873
1589	17367	91859
1590	17376	91839
1591	17386	91826
1592	17396	91809
1593	17405	91790
1594	17415	91773
1595	17424	91751
1596	17435	91740
1597	17445	91724
1598	17454	91705
1599	17465	91691
1600	17474	91674
1601	17485	91661
1602	17495	91649
1603	17505	91631
1604	17518	91628
1605	17529	91618
1606	17539	91603
1607	17549	91587
1608	17558	91567
1609	17569	91556
1610	17579	91541
1611	17588	91520
1612	17599	91508
1613	17608	91491
1614	17618	91473
1615	17628	91459
1616	17637	91439
1617	17647	91422
1618	17656	91401
1619	17666	91383
1620	17676	91371
1621	17686	91356
1622	17697	91346
1623	17707	91331
1624	17720	91329
1625	17731	91316
1626	17741	91303
1627	17750	91283
1628	17760	91265
1629	17770	91249
1630	17781	91240
1631	17791	91226
1632	17801	91209
1633	17811	91192
1634	17820	91173
1635	17830	91160
1636	17841	91146
1637	17850	91127
1638	17860	91110
1639	17869	91091
1640	17880	91081
1641	17890	91062
1642	17899	91043
1643	17911	91039
1644	17922	91026
1645	17933	91018
1646	17943	91004
1647	17954	90991
1648	17963	90974
1649	17973	90958
1650	17983	90942
1651	17994	90931
1652	18004	90915
1653	18015	90903
1654	18025	90889
1655	18034	90870
1656	18045	90858
1657	18055	90842
1658	18064	90822
1659	18073	90803
1660	18082	90783
1661	18093	90769
1662	18102	90752
1663	18111	90734
1664	18121	90717
1665	18130	90694
1666	18139	90676
1667	18148	90654
1668	18158	90640
1669	18168	90623
1670	18177	90603
